n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
4096,32,2496834,5,27777,1650578000,880936810,1,4096,4096,4096,0
4096,32,465690,4,5089,1693530092,204049264,2437,1,1.68076,52,5.52467
4096,32,850168,5,10241,1599238990,306688005,2026,1,2.02172,148,30.733
4096,32,930678,5,11585,1624141443,322247135,2093,1,1.957,204,28.3852
4096,32,990128,5,12481,1266249804,299822748,2062,1,1.98642,230,36.8621
65536,1,13539482,6,2032,2779046254,8019093108,8,1,8192,65529,4.69647e+08
65536,1,14992690,5,1491,4065197196,8500308348,2,1,32768,65535,1.07368e+09
65536,1,15055662,6,2123,3422613962,8912118654,1,65536,65536,65536,0
65536,1,2552720,5,324,545460112,1887213199,38990,1,1.68084,100,5.9678
65536,1,3513700,6,698,604742441,2686717915,32513,1,2.01569,632,54.832
65536,1,3886126,7,1286,601003618,2988620008,32871,1,1.99373,2644,237.949
65536,1,3890406,7,1359,603618230,2958801554,32820,1,1.99683,1316,109.828
65536,1,5321468,8,2682,671139534,4102297271,26675,1,2.45683,19837,14756.9
65536,2,13551684,6,4063,1467262655,4030865151,8,1,8192,65529,4.69647e+08
65536,2,15001644,5,2981,2130105017,4460035507,2,1,32768,65535,1.07368e+09
65536,2,15068410,6,4245,1786143009,4493328554,1,65536,65536,65536,0
65536,2,2554672,5,647,278125784,943851800,38990,1,1.68084,100,5.9678
65536,2,3517898,6,1395,309833204,1319815164,32513,1,2.01569,632,54.832
65536,2,3893854,7,2571,308738668,1479790985,32871,1,1.99373,2644,237.949
65536,2,3898572,7,2717,310336542,1510309078,32820,1,1.99683,1316,109.828
65536,2,5337574,8,5363,340211685,2091392665,26675,1,2.45683,19837,14756.9
65536,4,13600460,6,8125,767645555,2038074117,8,1,8192,65529,4.69647e+08
65536,4,15037432,5,5961,1092219876,2157459591,2,1,32768,65535,1.07368e+09
65536,4,15119370,6,8489,931653835,2209276125,1,65536,65536,65536,0
65536,4,2562452,5,1293,140212706,445233490,38990,1,1.68084,100,5.9678
65536,4,3534658,6,2789,166319205,632110184,32513,1,2.01569,632,54.832
65536,4,3924730,7,5141,158090738,711864094,32871,1,1.99373,2644,237.949
65536,4,3931200,7,5433,155935217,712923372,32820,1,1.99683,1316,109.828
65536,4,5401958,8,10725,174342446,1035263817,26675,1,2.45683,19837,14756.9
65536,8,13795500,6,16249,414070636,1167576862,8,1,8192,65529,4.69647e+08
65536,8,15180528,5,11921,586717286,1195143058,2,1,32768,65535,1.07368e+09
65536,8,15323146,6,16977,503604488,1254358265,1,65536,65536,65536,0
65536,8,2593516,5,2585,77802228,249031169,38990,1,1.68084,100,5.9678
65536,8,3601634,6,5577,88167331,361859960,32513,1,2.01569,632,54.832
65536,8,4048162,7,10281,86443834,426425982,32871,1,1.99373,2644,237.949
65536,8,4061640,7,10865,86291812,432132726,32820,1,1.99683,1316,109.828
65536,8,5659414,8,21449,94613277,645706285,26675,1,2.45683,19837,14756.9
8192,16,1020278,6,15697,482840072,276590312,3437,1,2.38347,2477,1787.55
8192,16,2065912,5,17281,492214262,407231278,2,1,4096,8191,1.6769e+07
8192,16,2087082,5,13217,582938987,313359642,1,8192,8192,8192,0
8192,16,2155826,6,19441,495404945,408297929,9,1,910.222,8184,6.61348e+06
8192,16,354266,4,2417,544036297,86808210,4903,1,1.67081,48,5.2455
8192,16,590814,5,6753,515664939,140415727,4245,1,1.9298,234,35.008
8192,16,643878,5,8033,511273911,157342073,4107,1,1.99464,337,58.1183
8192,16,703932,6,8433,516713557,165738533,4130,1,1.98354,597,100.188
8192,32,1239230,5,13505,1641506751,393176663,4245,1,1.9298,234,35.008
8192,32,1415174,5,16065,1681233035,448038131,4107,1,1.99464,337,58.1183
8192,32,1513660,6,16865,1647441576,524670385,4130,1,1.98354,597,100.188
8192,32,2527350,6,31393,1668146078,833255299,3437,1,2.38347,2477,1787.55
8192,32,3356042,5,26433,1645008064,879455735,1,8192,8192,8192,0
8192,32,3725016,5,34561,1640837261,1072725398,2,1,4096,8191,1.6769e+07
8192,32,4022322,6,38881,1681867115,1163099675,9,1,910.222,8184,6.61348e+06
8192,32,586394,4,4833,1640568473,192261604,4903,1,1.67081,48,5.2455
131072,1,10718276,8,3376,1408742992,9096413479,52839,1,2.48059,41298,32281
131072,1,30955516,7,2759,6296634367,20110895699,7,1,18724.6,131066,2.10343e+09
131072,1,31023812,6,2270,7719917616,20391721717,1,131072,131072,131072,0
131072,1,34169972,6,2084,9180557458,22426475749,1,131072,131072,131072,0
131072,1,5046254,5,316,1153318193,4040172822,78775,1,1.66388,121,5.72413
131072,1,7718282,7,1086,1281064990,6350402740,65987,1,1.98633,1380,81.7856
131072,1,7739104,7,1241,1279139563,6340685646,65851,1,1.99043,2754,152.219
131072,2,10738546,8,6751,717403479,4545116726,52839,1,2.48059,41298,32281
131072,2,30972082,7,5517,3321062924,10235596335,7,1,18724.6,131066,2.10343e+09
131072,2,31037442,6,4539,4043796369,10227369192,1,131072,131072,131072,0
131072,2,34182486,6,4167,4775566166,11286104025,1,131072,131072,131072,0
131072,2,5048158,5,631,568865488,2020971156,78775,1,1.66388,121,5.72413
131072,2,7724810,7,2171,641570814,3208257996,65987,1,1.98633,1380,81.7856
131072,2,7746562,7,2481,639006238,3197673447,65851,1,1.99043,2754,152.219
131072,4,10819586,8,13501,353569919,2201753749,52839,1,2.48059,41298,32281
131072,4,31038310,7,11033,1712232346,5004221052,7,1,18724.6,131066,2.10343e+09
131072,4,31091930,6,9077,2063911672,4810067884,1,131072,131072,131072,0
